name,pcode,mean,std,max,min,q90,time_of_prediction
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-05 19:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-05 19:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-05 19:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-05 20:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-05 20:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-05 20:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-05 21:00:00
Busongora,UG411502,0.03214285714285715,0.23837780851378917,1.8,0.0,0.0,2023-04-05 21:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-05 21:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-05 22:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-05 22:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-05 22:00:00
Bukonjo,UG411501,0.0071428571428571435,0.03711537444790452,0.2,0.0,0.0,2023-04-05 23:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-05 23:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-05 23:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 00:00:00
Busongora,UG411502,0.012499999999999999,0.0708683386892301,0.5,0.0,0.0,2023-04-06 00:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 00:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 01:00:00
Busongora,UG411502,0.03214285714285715,0.23837780851378917,1.8,0.0,0.0,2023-04-06 01:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 01:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 02:00:00
Busongora,UG411502,0.023214285714285715,0.1721617505932922,1.3,0.0,0.0,2023-04-06 02:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 02:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 03:00:00
Busongora,UG411502,0.017857142857142856,0.13243211584099399,1.0,0.0,0.0,2023-04-06 03:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 03:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 04:00:00
Busongora,UG411502,0.04642857142857143,0.3184585001637272,2.4,0.0,0.0,2023-04-06 04:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 04:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 05:00:00
Busongora,UG411502,0.06607142857142857,0.2898748410424536,1.9,0.0,0.0,2023-04-06 05:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 05:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 06:00:00
Busongora,UG411502,0.08392857142857142,0.441497769657158,2.9,0.0,0.0,2023-04-06 06:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 06:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 07:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-06 07:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 07:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 08:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-06 08:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 08:00:00
Bukonjo,UG411501,0.010714285714285714,0.05567306167185676,0.3,0.0,0.0,2023-04-06 09:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-06 09:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 09:00:00
Bukonjo,UG411501,0.0071428571428571435,0.03711537444790452,0.2,0.0,0.0,2023-04-06 10:00:00
Busongora,UG411502,0.0017857142857142859,0.0132432115840994,0.1,0.0,0.0,2023-04-06 10:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 10:00:00
Bukonjo,UG411501,0.0071428571428571435,0.03711537444790452,0.2,0.0,0.0,2023-04-06 11:00:00
Busongora,UG411502,0.0017857142857142859,0.0132432115840994,0.1,0.0,0.0,2023-04-06 11:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 11:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 12:00:00
